Model,Seats,Sector,Fuel burn(kg/km),Fuel per seat,haul-flight
Airbus A220-100,125,,2.28,2.28 L/100 km (103 mpg‑US)[71],short
Airbus A220-300,160,,2.56,2.00 L/100 km (118 mpg‑US)[72],short
Airbus A220-300,135,,2.3,1.85 L/100 km (127 mpg‑US)[43],short
Airbus A319,124,,2.93,2.95 L/100 km (80 mpg‑US)[78],short
Airbus A319Neo,136,,2.4 ,1.93 L/100 km (122 mpg‑US)[43],short
Airbus A320,150,"2,151 nmi (3,984 km)",2.91,2.43 L/100 km (97 mpg‑US)[82],meidum
Airbus A320,150,,3.13,2.61 L/100 km (90 mpg‑US)[78],short
Airbus A321-200,180,,3.61,2.50 L/100 km (94 mpg‑US)[78],short
Airbus A321NeoLR,154,"3,400 nmi (6,300 km)",2.99,2.43 L/100 km (97 mpg‑US)[83],meidum
Airbus A330-200,241,"3,000 nmi (5,600 km)",6,3.11 L/100 km (76 mpg‑US)[84],meidum
Airbus A330-200,241,"6,000 nmi (11,000 km)",6.4 ,3.32 L/100 km (71 mpg‑US)[84],long
Airbus A330-200,293,,5.6 ,2.37 L/100 km (99 mpg‑US)[78],short
Airbus A330-300,262,"3,000 nmi (5,600 km)",6.25,2.98 L/100 km (79 mpg‑US)[84],meidum
Airbus A330neo-800,248,"4,650 nmi (8,610 km)",5.45,2.75 L/100 km (86 mpg‑US)[92],long
Airbus A330neo-900,310,"3,350 nmi (6,200 km)",6,2.42 L/100 km (97 mpg‑US)[85],meidum
Airbus A330neo-900,300,"4,650 nmi (8,610 km)",5.94,2.48 L/100 km (95 mpg‑US)[92],long
Airbus A340-300,262,"3,000 nmi (5,600 km)",6.81,3.25 L/100 km (72 mpg‑US)[84],meidum
Airbus A340-300,262,"6,000 nmi (11,000 km)",7.32,3.49 L/100 km (67.4 mpg‑US)[84],long
Airbus A350-900,315,"4,972 nmi (9,208 km)",6.03,2.39 L/100 km (98 mpg‑US)[85],long
Airbus A350-900,315,"6,542 nmi (12,116 km)",7.07,2.81 L/100 km (84 mpg‑US)[93],long
Airbus A380,525,"7,200 nmi (13,300 km)",13.7,3.27 L/100 km (72 mpg‑US)[94],long
Airbus A380,544,"6,000 nmi (11,000 km)",13.7,3.16 L/100 km (74 mpg‑US)[95],long
Antonov An-148 (1190 nmi),89,,2.75,3.86 L/100 km (60.9 mpg‑US)[53],short
Antonov An-158 (1190 nmi),99,,2.83,3.57 L/100 km (65.9 mpg‑US)[53],short
Boeing 737 MAX-7,140,,2.51,1.94 L/100 km (121 mpg‑US)[43],short
Boeing 737 MAX-8,168,"3,400 nmi (6,300 km)",2.86,2.13 L/100 km (110 mpg‑US)[86],meidum
Boeing 737 MAX-8,162,,2.71,2.04 L/100 km (115 mpg‑US)[79],short
Boeing 737 MAX-9,144,"3,400 nmi (6,300 km)",2.91,2.53 L/100 km (93 mpg‑US)[83],meidum
Boeing 737 MAX-9,180,,2.91,2.02 L/100 km (116 mpg‑US)[79],short
Boeing 737-600,110,,2.77,3.15 L/100 km (75 mpg‑US)[68],short
Boeing 737-700,126,,2.82,2.79 L/100 km (84 mpg‑US)[68],short
Boeing 737-700,128,,2.8 ,2.71 L/100 km (87 mpg‑US)[78],short
Boeing 737-800,162,,3.17,2.44 L/100 km (96 mpg‑US)[68],short
Boeing 737-800,160,,3.45,2.68 L/100 km (88 mpg‑US)[78],short
Boeing 737-800W,162,,3.18,2.45 L/100 km (96 mpg‑US)[79],short
Boeing 737-900ER,180,,3.42,2.38 L/100 km (99 mpg‑US)[68],short
Boeing 737-900ERW,180,,3.42,2.37 L/100 km (99 mpg‑US)[79],short
Boeing 747-400,416,"2,151 nmi (3,984 km)",10.7,3.24 L/100 km (73 mpg‑US)[82],meidum
Boeing 747-400,416,"6,000 nmi (11,000 km)",11.1,3.34 L/100 km (70 mpg‑US)[96],long
Boeing 747-8,467,"3,000 nmi (5,600 km)",9.9 ,2.65 L/100 km (89 mpg‑US)[87],meidum
Boeing 747-8,467,"6,000 nmi (11,000 km)",10.5,2.82 L/100 km (83 mpg‑US)[87],long
Boeing 747-8,405,"7,200 nmi (13,300 km)",10.9,3.35 L/100 km (70 mpg‑US)[94],long
Boeing 757-200,190,,4.6,3.02 L/100 km (78 mpg‑US)[78],short
Boeing 757-200,200,,4.16,2.59 L/100 km (90.8 mpg‑US)[69],short
Boeing 757-200W,158,"3,400 nmi (6,300 km)",3.79,3.00 L/100 km (78 mpg‑US)[83],meidum
Boeing 757-300,243,,4.68,2.40 L/100 km (98 mpg‑US)[69],short
Boeing 767-200ER,181,"3,000 nmi (5,600 km)",4.83,3.34 L/100 km (70 mpg‑US)[88],meidum
Boeing 767-200ER,193,"3,400 nmi (6,300 km)",5.01,3.25 L/100 km (72 mpg‑US)[83],meidum
Boeing 767-200ER,224,"3,000 nmi (5,600 km)",4.93,2.75 L/100 km (86 mpg‑US)[88],meidum
Boeing 767-300ER,218,"2,151 nmi (3,984 km)",5.38,3.09 L/100 km (76 mpg‑US)[82],meidum
Boeing 767-300ER,218,"3,000 nmi (5,600 km)",5.39,3.09 L/100 km (76 mpg‑US)[88],meidum
Boeing 767-300ER,269,"3,000 nmi (5,600 km)",5.51,2.56 L/100 km (92 mpg‑US)[88],meidum
Boeing 767-400ER,245,"3,000 nmi (5,600 km)",5.78,2.95 L/100 km (80 mpg‑US)[88],meidum
Boeing 767-400ER,304,"3,000 nmi (5,600 km)",5.93,2.44 L/100 km (96 mpg‑US)[88],meidum
Boeing 767-400ER,304,"3,265 nmi (6,047 km)",5.92,2.43 L/100 km (96.9 mpg‑US)[67],meidum
Boeing 777-200,305,"3,000 nmi (5,600 km)",6.83,2.80 L/100 km (84 mpg‑US)[89],meidum
Boeing 777-200ER,301,"3,000 nmi (5,600 km)",6.96,2.89 L/100 km (81 mpg‑US)[84],meidum
Boeing 777-200ER,301,"6,000 nmi (11,000 km)",7.42,3.08 L/100 km (76 mpg‑US)[84],long
Boeing 777-200ER,301,"6,000 nmi (11,000 km)",7.44,3.09 L/100 km (76 mpg‑US)[89],long
Boeing 777-200LR,291,"4,972 nmi (9,208 km)",7.57,3.25 L/100 km (72 mpg‑US)[85],long
Boeing 777-300,368,"3,000 nmi (5,600 km)",7.88,2.68 L/100 km (88 mpg‑US)[89],meidum
Boeing 777-300ER,365,"6,000 nmi (11,000 km)",8.49,2.91 L/100 km (81 mpg‑US)[89],long
Boeing 777-300ER,344,"7,200 nmi (13,300 km)",8.58,3.11 L/100 km (76 mpg‑US)[94],long
Boeing 777-9X,395,"7,200 nmi (13,300 km)",7.69,2.42 L/100 km (97 mpg‑US)[94],long
Boeing 787-8,291,"3,400 nmi (6,300 km)",5.26,2.26 L/100 km (104 mpg‑US)[86],meidum
Boeing 787-8,238,"3,400 nmi (6,300 km)",5.11,2.68 L/100 km (88 mpg‑US)[83],meidum
Boeing 787-8,243,"4,650 nmi (8,610 km)",5.38,2.77 L/100 km (85 mpg‑US)[92],long
Boeing 787-9,304,"3,350 nmi (6,200 km)",5.77,2.37 L/100 km (99 mpg‑US)[85],meidum
Boeing 787-9,294,"4,650 nmi (8,610 km)",5.85,2.49 L/100 km (94 mpg‑US)[92],long
Boeing 787-9,304,"4,972 nmi (9,208 km)",5.63,2.31 L/100 km (102 mpg‑US)[85],long
Boeing 787-9,291,"6,542 nmi (12,116 km)",7.18,3.08 L/100 km (76 mpg‑US)[93],long
Irkut MC-21,163,"1,750 nmi (3,240 km)",3.04,2.33 L/100 km (101 mpg‑US)[90],meidum
Quest Kodiak,9,,0.71,6.28 L/100 km (37.5 mpg‑US)[80],short
